City,Country,Longitude,Latitude
Honolulu,United States,-157.871,21.531
Tokyo,Japan,140.643,36.274
Seoul,South Korea,126.75,37.781
Los Angeles,United States,-118.014,34.57
Hong Kong,Hong Kong,114.524,22.514
Bangkok,Thailand,101.245,14.135
Taipei,Taiwan,121.388,25.129
Shanghai,China,122.342,31.238
Kigali,Rwanda,30.232,-1.948
Muscat,Oman,58.474,23.988
New York,United States,-73.632,41.066
Abu Dhabi,United Arab Emirates,55.085,24.721
Singapore,Singapore,104.657,1.583
Jakarta,Indonesia,107.093,-5.543
Beijing,China,116.974,40.133
London,United Kingdom,-0.103,51.795
Geneva,Switzerland,6.181,46.396
Sao Paulo,Brazil,-46.116,-23.054
Buenos Aires,Argentina,-58.227,-34.704
Bahrain,Bahrain,51.056,26.451
Tenerife,Spain,-16.288,28.074
Malaga,Spain,-4.166,37.124
Stockholm,Sweden,18.531,60.086
Auckland,New Zealand,175.319,-36.347
Madrid,Spain,-3.278,40.822
Amsterdam,Netherlands,5.273,52.514
Zurich,Switzerland,8.915,47.774
Frankfurt,Germany,8.905,50.044
Chicago,United States,-87.842,42.631
Doha,Qatar,51.941,25.435
Paris,France,2.916,49.021
Macau,Macau,113.985,22.249
Osaka,Japan,135.406,34.724
Kuala Lumpur,Malaysia,102.183,3.242
Guangzhou,China,113.497,23.654
BarcelonaS,Spain,2.13,41.495
Sydney,Australia,151.295,-33.911
Bujumbura,Burundi,29.53,-2.874
Munich,Germany,12.31,48.589
Calgary,Canada,-113.368,51.189
Newark,United States,-73.615,41.154
San Francisco,United States,-121.959,38.031
Ouagadougou,Burkina Faso,-1.188,12.588
Cotonou,Benin,2.64,6.595
Denpasar,Indonesia,115.278,-8.581
Alicante,Spain,-0.264,38.47
Las Palmas,Spain,-13.343,29.575
Istanbul,Turkey,29.357,41.628
Tehran,Iran,51,35
Sharm El Sheikh,Egypt,34.658,28.628
Copenhagen,Denmark,13.093,56.029
Brisbane,Australia,153.195,-26.974
Kuwait,Kuwait,48.614,29.377
Dublin,Ireland,-5.784,53.702
Toronto,Canada,-79.385,44.128
Vancouver,Canada,-122.641,49.323
Mexico City,Mexico,-98.454,19.727
Melbourne,Australia,145.405,-37.456
Boston,United States,-70.342,42.607
Larnaca,Cyprus,34.041,35.458
Washington,United States,-77.094,39.574
Douala,Cameroon,10.199,4.01
Bangui,Central African Republic,18.864,4.664
Moscow,Russia,38.51,55.681
Kiev,Ukraine,31.491,50.575
Dar Es Salaam,Tanzania,39.337,-6.797
Manchester,United Kingdom,-1.792,53.589
Gran Canaria,Spain,-14.978,28.553
Ho Chi Minh City,Vietnam,107.086,11.364
Dubai,United Arab Emirates,55.607,25.421
Monrovia,Liberia,-9.938,6.389
Accra,Ghana,0.388,6.008
Christchurch,New Zealand,172.887,-43.149
Hangzhou,China,120.724,30.382
Malta,Malta,14.795,36.429
Kilimanjaro,Tanzania,37.124,-3.05
Entebbe,Uganda,32.739,0.07
Nice,France,7.359,44.097
Lisbon,Portugal,-8.56,39.302
Faro,Portugal,-7.944,37.024
Rome,Italy,12.417,42.34
Montreal,Canada,-73.569,45.784
SantiagoC,Chile,-70.644,-32.989
Luanda,Angola,13.385,-8.764
Kinshasa,Congo (Kinshasa),15.74,-3.977
Conakry,Guinea,-13.354,9.961
Brussels,Belgium,4.807,51.502
Banjul,Gambia,-16.421,13.563
Abidjan,Cote d'Ivoire,-3.878,5.435
Berlin,Germany,13.479,52.932
Miami,United States,-79.818,26.322
Houston,United States,-94.903,30.64
Guadalajara,Mexico,-102.852,20.869
Dallas-fort Worth,United States,-96.397,33.494
Atlanta,United States,-84.047,34.061
Kathmandu,Nepal,85.598,28.16
Delhi,India,77.171,28.944
Nairobi,Kenya,37.545,-0.866
Jeddah,Saudi Arabia,39.26,22.132
Manila,Philippines,121.032,14.847
Niamey,Niger,2.306,13.802
Fukuoka,Japan,130.751,33.976
Vienna,Austria,16.949,48.183
Colombo,Sri Lanka,80.473,7.301
Wellington,New Zealand,175.342,-40.879
Freeport,Bahamas,-78.493,26.931
Freetown,Sierra Leone,-12.66,9.027
Fort Lauderdale,United States,-79.588,26.12
Surabaya,Indonesia,113.311,-6.967
Guatemala City,Guatemala,-90.213,14.972
Nagoya,Japan,137.342,35.43
Addis Ababa,Ethiopia,39.332,9.629
Budapest,Hungary,19.425,47.728
Rio De Janeiro,Brazil,-42.74,-22.682
Milan,Italy,9.461,45.741
Lome,Togo,1.424,6.276
Salzburg,Austria,13.007,48.322
Hamburg,Germany,10.647,54.05
Duesseldorf,Germany,7.277,51.482
Basel-Mulhouse-Freiburg,Switzerland,7.881,47.983
Orlando,United States,-80.849,28.715
Lima,Peru,-76.524,-11.37
Bombay,India,73.446,19.147
Montevideo,Uruguay,-55.385,-34.731
Cebu,Philippines,124.632,10.512
Chengdu,China,104.578,30.964
Perth,Australia,116.611,-31.901
Penang,Malaysia,100.461,5.495
Odessa,Ukraine,31.127,46.711
Porto,Portugal,-8.469,41.413
San JoseC,Costa Rica,-83.682,10.656
Phoenix,United States,-111.353,33.723
Khartoum,Sudan,32.921,15.982
Osh,Kyrgyzstan,73.322,41.014
Milano,Italy,9.213,46.051
Grenoble,France,5.548,45.604
Fuerteventura,Spain,-13.773,28.754
East Midlands,United Kingdom,-0.881,53.385
Ko Samui,Thailand,100.103,9.912
Hanoi,Vietnam,106.345,21.368
Amman,Jordan,36.655,32.204
Male,Maldives,73.881,4.319
Karachi,Pakistan,67.267,25.51
Alexandria,Egypt,30.16,31.529
Seattle,United States,-121.849,47.748
Porto Alegre,Brazil,-50.62,-29.991
Kunming,China,103.239,25.653
Phuket,Thailand,98.528,8.188
Yaounde,Cameroon,11.922,4.204
Agana,Guam,145.326,13.805
Bamako,Mali,-7.917,12.889
Tianjin,China,117.576,39.207
Qingdao,China,120.624,36.443
Dalian,China,121.897,39.609
Chongqing,China,107.069,30.198
Busan,South Korea,129.563,35.299
Zagreb,Croatia,16.114,46.238
Mombasa,Kenya,39.99,-3.392
Warsaw,Poland,21.611,52.276
Sofia,Bulgaria,23.676,43.158
Gothenborg,Sweden,12.466,58.104
Nassau,Bahamas,-77.111,25.064
Minsk 2,Belarus,28.051,54.47
Simferopol,Ukraine,34.625,45.087
Tallinn-ulemiste International,Estonia,25.388,59.688
Helsinki,Finland,25.605,60.528
Medan,Indonesia,99.119,3.93
Kuching,Malaysia,110.578,1.807
Papeete,French Polynesia,-149.353,-17.262
Lusaka,Zambia,28.754,-14.885
Edinburgh,United Kingdom,-2.955,56.583
Detroit,United States,-82.923,42.354
Ottawa,Canada,-75.449,45.537
Yerevan,Armenia,44.659,40.245
St. Petersburg,Russia,30.437,60.333
Puerto Vallarta,Mexico,-104.757,21.133
Las Vegas,United States,-114.588,36.133
Athens,Greece,24.574,38.56
Madras,India,80.3,13.657
St. Thomas,Virgin Islands,-64.956,18.562
San Juan,Puerto Rico,-65.337,18.732
Juba,South Sudan,32.001,5.453
Stuttgart,Germany,9.369,49.149
Dhaka,Bangladesh,90.662,24.405
Calcutta,India,88.744,23.091
Libreville,Gabon,9.687,0.764
Dakar,Senegal,-17.151,15.232
Dnepropetrovsk,Ukraine,35.167,48.595
Bucharest,Romania,26.17,44.953
NewcastleU,United Kingdom,-1.487,55.062
San Salvador,El Salvador,-88.427,13.734
Graz,Austria,15.732,47.651
Sverdlovsk,Russia,61.337,57.238
Novosibirsk,Russia,83.084,55.021
Samara,Russia,50.25,53.833
Bishkek,Kyrgyzstan,74.795,43.102
Shizuoka,Japan,138.315,35.326
Sapporo,Japan,142.153,43.292
Philadelphia,United States,-74.736,40.453
Beirut,Lebanon,35.813,34.368
Prague,Czech Republic,14.433,50.168
Caracas,Venezuela,-66.985,11.005
Innsbruck,Austria,11.573,47.433
Bandung,Indonesia,107.96,-6.835
Palma de Mallorca,Spain,3.212,39.922
Bristol,United Kingdom,-2.532,51.637
Birmingham,United Kingdom,-1.581,52.756
Riyadh,Saudi Arabia,47.164,25.596
Dammam,Saudi Arabia,50.329,26.785
Cork,Ireland,-8.152,52.402
Santo Domingo,Dominican Republic,-69.449,18.716
Sohag,Egypt,32.238,26.568
Harare,Zimbabwe,31.154,-17.887
Queenstown International,New Zealand,169.231,-44.369
Nandi,Fiji,177.738,-17.593
Changcha,China,113.366,28.315
Xiamen,China,118.212,24.906
Sanya,China,109.687,18.504
Nanjing,China,119.436,32.236
Ninbo,China,121.769,30.377
Tselinograd,Kazakhstan,71.778,51.037
Baku,Azerbaijan,50.077,40.779
Cancun,Mexico,-86.796,21.06
Abuja,Nigeria,7.438,9.011
Panama City,Panama,-78.973,9.118
Wuxi,China,120.715,31.824
Wuhan,China,114.346,31.306
Port Moresby,Papua New Guinea,147.366,-9.073
Yanji,China,129.752,43.471
Weihai,China,122.381,37.311
Jinan,China,117.359,37.428
Shenyang,China,123.483,41.637
Malabo,Equatorial Guinea,9.181,4.258
Riga,Latvia,24.618,57.539
Haikou,China,110.764,20.558
Stavanger,Norway,6.063,59.461
Luxor,Egypt,33.177,26.118
Glasgow,United Kingdom,-4.056,56.453
Bergen,Norway,5.363,60.488
Tel-aviv,Israel,35.477,32.018
Marrakech,Morocco,-7.394,32.011
Oslo,Norway,11.167,60.323
Maputo,Mozambique,32.954,-25.869
Johannesburg,South Africa,28.41,-25.566
Isle Of Man,Isle of Man,-4.374,54.138
Cape Town,South Africa,19.002,-33.942
Adelaide,Australia,138.884,-34.909
Xi'an,China,109.252,34.745
Shenzhen,China,114.351,23.065
Kaohsiung,Taiwan,120.583,22.961
Fuzhou,China,120.105,26.558
ValenciaS,Spain,-0.137,39.815
Torino,Italy,8.082,45.334
Lagos,Nigeria,3.535,6.962
Brazzaville,Congo (Kinshasa),15.421,-3.753
San Jose Del Cabo,Mexico,-109.536,23.253
Asuncion,Paraguay,-57.199,-24.734
Del Bajio,Mexico,-101.135,21.655
Pulau,Malaysia,100.214,6.549
Kota Kinabalu,Malaysia,116.085,6.562
Oran,Algeria,-0.369,36.039
Venice,Italy,12.586,45.842
Pointe-a-pitre,Guadeloupe,-61.22,16.442
Phnom-penh,Cambodia,105.406,11.91
Lyon,France,5.151,46.21
Lilongwe,Malawi,34.301,-13.649
Djibouti,Djibouti,43.265,11.912
Firenze,Italy,11.341,44.349
Fort-de-france,Martinique,-60.339,14.985
Dzaoudzi,Mayotte,45.468,-12.675
Bordeaux,France,-0.526,45.38
Algier,Algeria,3.359,37.151
Halifax,Canada,-63.182,45.468
Edmonton,Canada,-113.3,53.516
Portland,United States,-122.33,45.981
Catania,Italy,15.11,37.777
Cologne,Germany,7.237,51.443
San Pedro Sula,Honduras,-87.873,15.754
Peshawar,Pakistan,71.857,34.656
Managua,Nicaragua,-85.614,12.235
Tirana,Albania,20.2,41.691
Hyderabad,India,78.779,17.755
BarcelonaV,Venezuela,-64.482,10.178
St. Croix Island,Virgin Islands,-64.665,18.169
Roadtown/beef Island,British Virgin Islands,-64.239,18.741
Nicosia,Cyprus,33.826,35.257
Yangon,Burma,96.222,17.512
Casablanca,Morocco,-7.317,33.612
Agadir,Morocco,-9.244,30.635
Zanzibar,Tanzania,39.374,-5.704
Thessaloniki,Greece,23.618,40.866
Pristina,Serbia,21.059,42.954
Kabul,Afghanistan,69.353,34.943
Dushanbe,Tajikistan,69.375,38.905
Alma-ata,Kazakhstan,77.067,43.586
Bogota,Colombia,-73.579,5.169
Castries,Saint Lucia,-60.989,14.033
Willemstad,Netherlands Antilles,-68.934,12.314
Oranjestad,Aruba,-69.359,12.835
Tanger,Morocco,-5.862,36.211
Kichinau Fir/acc/com,Moldova,29.551,47.546
Beaufort,United States,-80.539,32.795
Charlotte,United States,-80.906,35.356
Paphos,Cyprus,32.809,35.196
Funchal,Portugal,-16.625,33.163
Djerba,Tunisia,11.292,34.458
Hurghada,Egypt,34.332,27.297
Punta Cana,Dominican Republic,-67.94,18.945
Goa,India,74.385,15.634
Donetsk,Ukraine,38.232,48.122
Aberdeen,United Kingdom,-1.663,57.336
Damascus,Syria,36.857,33.684
Noumea,New Caledonia,166.354,-21.358
Lahore,Pakistan,74.672,31.869
Islamabad,Pakistan,73.165,34.027
Ankara,Turkey,33.658,40.213
Trivandrum,India,77.533,8.803
Bangalore,India,78.113,13.583
Cairo,Egypt,31.675,30.203
St.-denis,Reunion,55.85,-20.812
Plaisance,Mauritius,58.139,-20.051
Belfast,United Kingdom,-5.694,55.095
Krakow,Poland,20.308,50.129
Klagenfurt,Austria,14.562,47.07
Izmir,Turkey,27.261,38.487
Saarbruecken,Germany,7.182,49.357
Guayaquil,Ecuador,-79.806,-1.596
Yantai,China,121.619,37.669
Coolangatta,Australia,153.841,-27.608
Cairns,Australia,146.258,-16.81
Sanaa,Yemen,44.366,15.793
Tiruchirappalli,India,79.182,11.275
Sevilla,Spain,-5.822,37.696
Bilbao,Spain,-2.852,43.501
Tashkent,Uzbekistan,69.468,41.429
Krasnodar,Russia,39.284,45.057
Beograd,Serbia,20.515,45.364
Solo City,Indonesia,111.261,-7.194
Palembang,Indonesia,105.166,-2.831
Pekanbaru,Indonesia,101.74,0.767
Manado,Indonesia,125.543,1.915
Balikpapan,Indonesia,117.49,-0.781
Kaunas,Lithuania,24.141,55.606
Aden,Yemen,45.047,13.382
Port-vila,Vanuatu,168.532,-17.499
Honiara,Solomon Islands,160.091,-9.047
Chiang Mai,Thailand,99.604,19.278
Mashhad,Iran,59,36
Shannon,Ireland,-8.875,53.169
Connaught,Ireland,-8.698,54.517
Kulyab,Tajikistan,70.332,38.636
Asyut,Egypt,31.019,27.077
Turku,Finland,22.438,60.856
Bissau,Guinea-Bissau,-15.423,12.491
Rostov,Russia,40.363,47.43
Mineralnye Vody,Russia,43.136,44.375
Sochi,Russia,40.594,43.749
Pointe-noire,Congo (Brazzaville),12.477,-4.694
Urumqi,China,87.79,44.511
Nanning,China,108.287,23.013
Okinawa,Japan,128.076,26.326
Havana,Cuba,-82.016,23.648
Sendai,Japan,141.528,38.232
Avarua,Cook Islands,-159.676,-20.672
West Palm Beach,United States,-79.493,27.138
Okayama,Japan,134.425,35.261
Monterrey,Mexico,-99.512,26.297
Marsh Harbor,Bahamas,-76.473,26.852
Manaus,Brazil,-59.417,-2.398
Niigata,Japan,139.107,37.951
Hiroshima,Japan,133.532,34.726
GeorgetownC,Cayman Islands,-80.93,19.487
Denver,United States,-104.456,40.436
Asmara,Eritrea,39.517,15.486
Ashkhabad,Turkmenistan,58.601,38.644
Tegucigalpa,Honduras,-86.696,14.101
Port-of-spain,Trinidad and Tobago,-60.896,10.992
Point Salines,Grenada,-61.644,12.007
Vilnius,Lithuania,25.476,55.056
Darwin,Australia,131.454,-12.014
Dili,East Timor,125.874,-8.245
Guernsey,Guernsey,-2.337,49.724
Windhoek,Namibia,17.77,-22.145
Villafranca,Italy,11.48,45.659
Pisa,Italy,10.654,44.139
Providenciales,Turks and Caicos Islands,-71.777,22.289
Naples,Italy,14.484,41.476
Marseille,France,5.356,43.725
Montego Bay,Jamaica,-77.856,18.839
Livingstone,Zambia,26.371,-17.703
Jersey,Jersey,-1.66,49.346
Gibraltar,Gibraltar,-4.917,36.252
Chambery,France,6.467,46.063
Bologna,Italy,11.481,44.892
Bridgetown,Barbados,-59.155,13.124
Chingchuakang,Taiwan,121.034,24.441
Timisoara,Romania,21.563,46.349
Leeds,United Kingdom,-1.435,54.443
Bergamo,Italy,10.173,46.123
Rio Negro,Colombia,-75.039,6.274
Tunis,Tunisia,10.378,37.418
Florianopolis,Brazil,-48.246,-27.451
Minneapolis,United States,-92.703,45.469
Hermosillo,Mexico,-110.414,29.159
Brunei,Brunei,115.547,5.573
Calicut,India,76.592,11.228
Annaba,Algeria,8.348,37.37
Vigo,Spain,-8.378,42.386
Antananarivo,Madagascar,47.798,-18.662
Toulouse,France,1.606,44.048
Philipsburg,Netherlands Antilles,-62.515,18.068
Sibiu,Romania,24.152,46.309
Luxemburg,Luxembourg,6.352,50.044
Ljubliana,Slovenia,14.762,46.372
Eindhoven,Netherlands,5.624,51.75
Yancheng,China,120.208,33.642
Zhengzhou,China,114.401,34.866
Victoria,Canada,-123.044,49.078
Winnipeg,Canada,-96.734,50.516
Regina,Canada,-104.444,50.719
Varadero,Cuba,-81.059,23.057
Kingston,Jamaica,-76.646,18.559
Holguin,Cuba,-75.859,21.309
Cincinnati,United States,-84.447,39.081
Cleveland,United States,-81.75,41.686
Hannover,Germany,10.141,52.768
Bari,Italy,17.267,41.231
Antalya,Turkey,31.334,37.497
Tampa,United States,-82.223,28.625
Sacramento,United States,-121.318,39.159
San JoseU,United States,-121.882,37.604
San Diego,United States,-116.65,33.222
Raleigh-durham,United States,-78.646,36.462
Belo Horizonte,Brazil,-43.949,-19.39
Baltimore,United States,-76.448,39.292
Brasilia,Brazil,-47.865,-15.786
Antigua,Antigua and Barbuda,-61.655,17.227
Tbilisi,Georgia,45.591,42.115
Sharjah,United Arab Emirates,55.861,25.547
Kochi,India,76.652,10.259
Vieques Island,Puerto Rico,-65.038,18.193
N'djamena,Chad,15.056,12.222
Rabat,Morocco,-6.586,34.085
Oujda,Morocco,-1.874,35.311
Port-au-prince,Haiti,-71.821,18.966
Cheju,South Korea,126.821,33.852
Punta del Este,Uruguay,-54.491,-34.759
Santa Cruz,Bolivia,-62.559,-17.408
La PazB,Bolivia,-67.654,-16.189
San Antonio,United States,-98.117,29.889
Khudzhand,Tajikistan,70.157,40.359
Kazan,Russia,49.464,56.01
Krasnoyarsk,Russia,92.791,56.3
Chittagong,Bangladesh,92.355,22.416
Termez,Uzbekistan,67.516,37.477
Tivat,Montenegro,19.205,42.674
Samarkand,Uzbekistan,67.639,40.167
Namangan,Uzbekistan,71.927,41.641
Ganja,Azerbaijan,46.529,41.229
Khanabad,Uzbekistan,66.535,39.389
Fergana,Uzbekistan,72.241,40.598
Bukhara,Uzbekistan,64.805,40.291
Andizhan,Uzbekistan,72.49,41.212
Quito,Ecuador,-78.148,0.431
Cozumel,Mexico,-86.877,20.87
Belize City,Belize,-87.848,17.898
Dortmund,Germany,8.02,51.863
Saskatoon,Canada,-106.5,52.284
Quebec,Canada,-70.989,47.318
Sao Vicente Island,Cape Verde,-24.425,17.389
Amilcar Cabral,Cape Verde,-22.916,17.235
"Praia,Santiago Island",Cape Verde,-23.156,15.54
Tozeur,Tunisia,8.184,34.566
Monastir,Tunisia,11.257,36.263
Enfidha,Tunisia,10.731,36.126
Madinah,Saudi Arabia,40.175,24.922
Sandefjord,Norway,10.431,59.311
Kristiansand,Norway,8.142,58.34
Haugesund,Norway,5.347,59.575
Gdansk,Poland,18.777,54.629
Walvis Bay,Namibia,15.075,-22.967
Tete,Mozambique,34.066,-15.509
Beira,Mozambique,35.512,-19.661
Vladivostok,Russia,132.246,43.664
Khabarovsk,Russia,135.313,48.88
Chelyabinsk,Russia,61.838,55.509
Ponta Delgada,Portugal,-25.497,38.235
Tabriz,Iran,46.391,38.223
Aleppo,Syria,37.373,36.301
Vientiane,Laos,102.938,18.647
Siem-reap,Cambodia,104.354,13.684
Luang Prabang,Laos,102.267,20.496
Gustavia,France,-62.721,18.503
Skopje,Macedonia,22.035,42.602
Hatay,Turkey,36.47,36.604
Podgorica,Montenegro,19.419,42.598
Lvov,Ukraine,24.593,50.354
Iasi,Romania,28.034,47.297
Kharkov,Ukraine,36.483,50.541
Cluj-napoca,Romania,24.143,47.308
Altenrhein,Switzerland,9.934,47.808
Ulan Bator,Mongolia,107.277,48.405
Bremen,Germany,9.311,53.079
Karlovy Vary,Czech Republic,13.524,50.338
Ovda,Israel,35.559,30.567
Gyumri,Armenia,44.432,41.25
Sialkot,Pakistan,74.606,32.892
Al Ain,United Arab Emirates,56.015,24.436
Miho,Japan,133.393,35.82
Toyama,Japan,137.312,37.08
Takamatsu,Japan,134.025,34.356
Saipan,Northern Mariana Islands,146.215,15.198
Matsuyama,Japan,133.166,34.378
Kumamoto,Japan,131.425,33.395
Miyazaki,Japan,131.747,32.462
Santo,Vanuatu,167.366,-15.176
NewcastleA,Australia,152.383,-32.634
Norfolk Island,Norfolk Island,168.564,-28.403
Guilin,China,110.065,25.363
Abha,Saudi Arabia,43.094,18.4
St.-pierreR,Reunion,55.705,-20.867
Durban,South Africa,31.584,-29.951
Davao,Philippines,126.076,7.209
Danang,Vietnam,108.332,16.073
Coimbatore,India,77.072,11.05
Mataram,Indonesia,116.157,-8.268
Quanzhou,China,118.983,25.327
Toamasina,Madagascar,49.654,-17.516
Mahajanga,Madagascar,46.586,-15.446
Moroni,Comoros,43.453,-11.223
Tirgu Mures,Romania,24.687,46.779
Aalborg,Denmark,10.415,57.154
Liberia,Costa Rica,-85.241,10.988
Tripoli,Libya,13.265,33.105
Benghazi,Libya,20.449,32.161
Angeles City,Philippines,120.933,15.309
Dominica,Dominica,-60.834,15.911
Wroclaw,Poland,17.476,51.171
Split,Croatia,16.496,43.898
Poznan,Poland,17.377,52.701
Nuernberg,Germany,11.111,49.831
Linz,Austria,14.312,48.388
