City,Country,Longitude,Latitude
Leipzig,Germany,12.402,51.72
Katowice,Poland,19.133,50.79
Dubrovnik,Croatia,18.447,42.935
Billund,Denmark,9.252,56.233
La Ceiba,Honduras,-86.756,16.237
Pemba,Mozambique,40.87,-12.978
Mwanza,Tanzania,33.554,-2.075
Zandery,Suriname,-54.647,5.754
Ndola,Zambia,29.108,-12.997
Liverpool,United Kingdom,-2.75,53.556
Lubumashi,Congo (Kinshasa),27.884,-11.319
Kralendijk,Netherlands Antilles,-67.781,12.218
Sulaymaniyah,Iraq,45.524,35.934
Erbil,Iraq,44.605,36.396
Adana,Turkey,35.467,37.636
Vaasa,Finland,22.27,63.084
Tampere,Finland,24.007,61.69
Babelthuap,Palau,134.907,7.612
Nagasaki,Japan,130.522,33.528
Kagoshima,Japan,131.199,32.338
Kanazawa,Japan,136.677,36.657
La Coruna,Spain,-7.963,43.503
Campinas,Brazil,-46.558,-22.346
Porto Velho,Brazil,-63.838,-8.516
Marktoberdorf,Germany,11.045,48.3
Cuiaba,Brazil,-55.528,-15.422
Vilhena,Brazil,-59.498,-12.491
Ciudad del Este,Paraguay,-54.74,-25.093
Sarajevo,Bosnia and Herzegovina,18.552,44.374
Deire Zor,Syria,40.293,35.475
Rimini,Italy,13.019,44.033
Shiraz,Iran,52.982,29.898
Nantes,France,-1.352,47.255
Genoa,Italy,9.395,44.688
Nouakschott,Mauritania,-15.914,18.163
Yuzhno-sakhalinsk,Russia,143.195,47.481
Urgench,Uzbekistan,61.069,41.973
Harbin,China,126.417,46.039
Irkutsk,Russia,104.648,52.446
Monaco,Monaco,7.694,44.222
Arica,Chile,-69.898,-17.915
Antofagasta,Chile,-70.076,-23.075
Hefei,China,117.497,32.3
Ujung Pandang,Indonesia,119.923,-4.437
Campo Grande,Brazil,-54.455,-20.115
Kuantan,Malaysia,103.348,4.292
Ipoh,Malaysia,101.153,4.946
Banda Aceh,Indonesia,95.7,5.872
Batam,Indonesia,104.197,1.201
Kaliningrad,Russia,20.987,55.483
Rzeszow,Poland,22.031,50.183
Rygge,Norway,11.308,59.631
Palermo,Italy,13.151,38.293
Murcia,Spain,-0.688,38.291
Lodz,Poland,19.663,52.203
Kerry,Ireland,-9.207,52.301
"Doncaster,Sheffield",United Kingdom,-0.341,53.791
Bratislava,Slovakia,17.354,48.283
Turany,Czech Republic,17.157,49.252
Taiz,Yemen,44.231,14.143
Xuzhou,China,117.183,34.266
Kiritimati,Kiribati,-156.917,2.643
Keflavik,Iceland,-22.343,64.641
Taiyuan,China,113.047,38.244
Shijiazhuang,China,115.162,38.467
Bourgas,Bulgaria,27.858,42.949
Milwaukee,United States,-87.828,43.578
Malakal,Sudan,32.087,9.931
Mazar-i-sharif,Afghanistan,67.349,37.178
Kandahar,Afghanistan,66.413,31.842
Bandar Abbas,Iran,56.629,27.363
Ahwaz,Iran,49.269,31.562
Ahmedabad,India,73.057,23.128
Trondheim,Norway,11.54,63.762
Palanga,Lithuania,21.156,56.622
Aktau,Kazakhstan,51.088,43.855
Zihuatanejo,Mexico,-101.101,18.002
Salt Lake City,United States,-111.963,41.313
Mazatlan,Mexico,-105.777,23.268
Memphis,United States,-89.962,35.07
Kano,Nigeria,8.874,12.079
GeorgetownG,Guyana,-57.757,6.83
Tongatapu,Tonga,-174.583,-20.736
Rotorua,New Zealand,176.528,-37.516
HamiltonN,New Zealand,175.553,-37.778
Dunedin,New Zealand,170.33,-45.881
Faleolo,Samoa,-171.348,-13.717
Mudanjiang,China,129.948,44.873
Changchun,China,125.2,43.902
Heraklion,Greece,25.3,35.566
Pardubice,Czech Republic,16.231,50.022
Manzanillo,Mexico,-104.265,19.241
Moncton,Canada,-64.465,46.187
Yap,Micronesia,138.137,9.831
Villahermosa,Mexico,-92.696,18.661
Vera Cruz,Mexico,-95.646,19.243
Torreon,Mexico,-103.018,25.947
Toluca,Mexico,-99.277,19.561
Chuuk,Micronesia,152.405,7.769
Tuxtla Gutierrez,Mexico,-92.377,16.936
Treasure Cay,Bahamas,-76.986,27.242
Tampico,Mexico,-97.777,22.494
Saltillo,Mexico,-100.882,25.915
San Luis Potosi,Mexico,-100.885,22.423
Roatan,Honduras,-86.205,16.528
Rota,Northern Mariana Islands,145.404,14.29
Queretaro,Mexico,-99.643,21.028
Pohnpei,Micronesia,158.348,7.641
Puebla,Mexico,-97.953,19.263
Oaxaca,Mexico,-96.545,17.666
Morelia,Mexico,-100.376,20.416
Merida,Mexico,-89.43,21.561
Majuro,Marshall Islands,171.453,7.107
Kwajalein,Marshall Islands,168.219,9.2
Kosrae,Micronesia,163.597,5.594
Bahias Dehuatulco,Mexico,-95.771,16.292
Governor's Harbor,Bahamas,-75.886,25.474
Great Exuma,Bahamas,-75.797,23.937
North Eleuthera,Bahamas,-76.473,25.791
Durango,Mexico,-104.214,24.206
Chihuahua,Mexico,-105.941,29.171
Ciudad Del Carmen,Mexico,-91.666,19.089
Aguadilla,Puerto Rico,-66.55,18.824
Alice Town,Bahamas,-78.775,26.166
Bermuda,Bermuda,-64.465,32.606
Aguascalientes,Mexico,-101.864,22.175
Acapulco,Mexico,-99.59,17.261
Nanchang,China,116.5,29.441
Muan,South Korea,126.637,35.652
Pyongyang,Korea,126.116,39.373
Dresden,Germany,14.278,51.221
Bern,Switzerland,7.828,47.523
Gaberone,Botswana,26.53,-24.259
Southampton,United Kingdom,-0.929,51.583
Victoria Falls,Zimbabwe,26.398,-17.494
Hewandorra,Saint Lucia,-60.921,14.221
Scarborough,Trinidad and Tobago,-60.721,11.249
Basse Terre,Saint Kitts and Nevis,-62.532,17.518
Norwich,United Kingdom,1.471,53.126
Teesside,United Kingdom,-1.05,54.848
Lugano,Switzerland,9.517,46.007
Humberside,United Kingdom,0.081,53.957
Cardiff,United Kingdom,-2.906,51.661
Craiova,Romania,24.481,44.53
Ancona,Italy,13.603,44.027
Umea,Sweden,20.471,64.319
Tartu-ulenurme,Estonia,27.15,58.512
Skelleftea,Sweden,21.128,65.041
Oulu,Finland,25.59,65.55
Norrkoeping,Sweden,16.417,58.977
Kruunupyy,Finland,23.238,64.201
Cali,Colombia,-75.97,3.905
Fez,Morocco,-4.964,34.545
Mendoza,Argentina,-68.655,-32.72
Zacatecas,Mexico,-102.479,23.495
Tijuana,Mexico,-116.951,32.901
Fresno,United States,-119.531,37.293
Windsor Locks,United States,-72.473,42.564
Tlemcen,Algeria,-1.084,35.027
Setif,Algeria,5.54,36.296
Mulhouse,France,7.883,47.982
Lille,France,3.149,50.936
Constantine,Algeria,7.033,36.46
Biskra,Algeria,6.23,35.322
Batna,Algeria,6.514,36.253
Bejaja,Algeria,5.116,37.186
Strasbourg,France,8.047,48.897
Rotterdam,Netherlands,4.728,52.594
Rennes,France,-1.558,48.115
Aviles,Spain,-5.392,43.939
Limoges,France,1.299,46.437
Exeter,United Kingdom,-3.024,51.224
Clermont Ferrand,France,3.281,46.311
Cayenne,French Guiana,-51.935,5.366
Kalibo,Philippines,122.627,12.132
St. Louis,United States,-89.951,39.247
Santa Clara,Cuba,-79.907,22.82
Fort Myers,United States,-81.592,26.893
Puerto Plata,Dominican Republic,-70.284,20.263
Pittsburgh (pennsylva),United States,-79.722,40.819
Kahului,United States,-156.051,21.497
New Orleans,United States,-89.764,30.655
Kansas City,United States,-94.524,39.496
La Romana,Dominican Republic,-68.854,18.751
Kona,United States,-155.41,20.231
Indianapolis,United States,-85.824,40.195
Cayo,Cuba,-81.244,22.027
Columbus,United States,-82.82,40.663
Cayo Coco,Cuba,-78.185,22.855
Nashville,United States,-86.464,36.207
Samana,Dominican Republic,-69.57,19.445
Santa Cruz De La Palma,Spain,-17.593,29.044
Paderborn,Germany,9.027,52.023
Olbia,Italy,9.862,41.497
Brindisi,Italy,18.578,41.096
Batumi,Georgia,41.999,42.017
Gaya,India,85.585,25.24
Sao Tome,Sao Tome and Principe,7.186,0.63
Vilankulu,Mozambique,35.522,-21.365
Volgograd,Russia,44.575,49.304
Stavropol,Russia,42.187,45.181
ValenciaV,Venezuela,-67.881,10.249
Orenburg,Russia,55.761,52.326
Nukus,Uzbekistan,60.038,42.814
Ostrava,Czech Republic,18.185,50.16
Sion,Switzerland,7.544,46.365
Hassi-messaoud,Algeria,6.234,32.121
Menorca,Spain,4.364,40.437
Chongju,South Korea,127.831,37.194
Bacolod,Philippines,123.549,11.07
Voronezh,Russia,39.382,52.357
Nis,Serbia,22.422,43.562
Tyumen,Russia,65.54,57.315
Kish Island,Iran,54.633,26.876
Oakland,United States,-121.702,38.202
Mukalla,Yemen,49.625,15.104
Mogadishu,Somalia,45.507,2.024
Galcaio,Somalia,47.757,7.301
Berbera,Somalia,45.568,10.648
Port Hedland,Australia,119.043,-19.963
Nhatrang,Vietnam,109.32,12.379
Zweibruecken,Germany,7.668,49.349
Boa Vista,Cape Verde,-22.815,16.227
Salalah,Oman,54.152,17.064
Lucknow,India,81.482,27.267
Jaipur,India,76.353,27.373
Treviso,Italy,12.324,46.08
Luebeck,Germany,11.198,54.342
Gerona,Spain,3.267,42.501
Memmingen,Germany,10.399,48.647
Abbotsford,Canada,-121.935,49.042
Prince George,Canada,-122.465,54.482
Thunder Bay,Canada,-88.874,48.619
Comox,Canada,-124.812,50.184
Kelowna,Canada,-118.963,50.593
HamiltonC,Canada,-79.892,43.289
Santa Ana,United States,-117.781,34.126
Palm Springs,United States,-116.178,34.382
Lihue,United States,-158.899,22.626
Charlestown,Saint Kitts and Nevis,-62.317,17.342
Zaragoza,Spain,-0.403,42.11
Prestwick,United Kingdom,-4.312,55.849
Weeze,Germany,6.236,52.003
Malmoe,Sweden,13.619,55.883
Hahn,Germany,7.439,50.581
Forli,Italy,12.116,44.324
Levaldigi,Italy,8.038,44.911
Charleroi,Belgium,4.756,50.765
Beauvais,France,2.187,49.757
Isfahan,Iran,52.435,33.251
Fortaleza,Brazil,-38.221,-3.628
Chernovtsk,Ukraine,26.634,48.432
Louisville,United States,-85.561,38.29
Richmond,United States,-76.867,37.841
Kingstown,Saint Vincent and the Grenadines,-60.685,13.24
Porlamar,Venezuela,-63.946,11.521
Salvador,Brazil,-37.886,-12.852
Mahe,Seychelles,55.869,-4.458
Nosy-be,Madagascar,48.524,-12.854
Guaymas,Mexico,-110.876,28.614
Uralsk,Kazakhstan,51.905,51.251
Kostanay,Kazakhstan,63.917,53.344
Karaganda,Kazakhstan,73.557,50.118
Atyrau,Kazakhstan,52.368,47.203
Chimkent,Kazakhstan,69.798,42.606
Yenbo,Saudi Arabia,38.105,24.24
Taif,Saudi Arabia,40.907,21.805
Gassim,Saudi Arabia,44.289,26.504
St. John's,Canada,-52.587,48.031
Nizhniy Novgorod,Russia,44.306,56.383
Astrakhan,Russia,48.01,46.472
Ufa,Russia,56.457,54.929
Perm,Russia,56.035,58.524
Montpellier,France,4.605,43.96
Almeria,Spain,-1.951,37.406
Cagliari,Italy,9.09,39.419
Bournemouth,United Kingdom,-1.738,51.3
St. Martin,Guadeloupe,-62.412,18.166
Belem,Brazil,-48.128,-0.966
Sfax,Tunisia,11.151,35.196
Krabi,Thailand,99.647,8.159
Songkhla,Thailand,100.654,7.555
Recife,Brazil,-34.872,-7.545
Natal,Brazil,-34.747,-5.853
Taba,Egypt,35.296,29.979
Sanford,United States,-80.73,29.296
Marsa Alam,Egypt,34.972,25.928
Kittila,Finland,25.411,68.168
Inhambane,Mozambique,35.68,-23.795
Najaf,Iraq,44.673,32.652
Nakhchivan,Azerbaijan,45.764,39.314
Misratah,Libya,15.101,32.541
Basrah,Iraq,48.103,30.915
Baghdad,Iraq,44.39,33.437
Eskissehir,Turkey,30.865,40.349
Varanasi,India,83.432,25.753
Amritsar,India,75.328,32.182
Lansing,United States,-84.313,43.297
Maun,Botswana,23.718,-19.955
Alesund,Norway,6.183,62.933
Wau,Sudan,28.633,8.208
Port Sudan,Sudan,37.39,19.722
Wallis,Wallis and Futuna,-175.666,-12.731
Manzini,Swaziland,31.512,-26.216
Maseru,Lesotho,27.92,-29.104
Mpumalanga,South Africa,31.176,-24.972
Bulawayo,Zimbabwe,29.029,-19.363
Blantyre,Malawi,35.623,-15.466
Nampula,Mozambique,39.469,-14.51
Ust Kamenogorsk,Kazakhstan,82.823,50.061
Pavlodar,Kazakhstan,77.123,52.325
Plovdiv,Bulgaria,25.418,42.113
Ras Al Khaimah,United Arab Emirates,56.564,26.022
Waterford,Ireland,-6.479,52.312
Southend,United Kingdom,1.159,51.952
Reykjavik,Iceland,-21.901,64.216
Vagar,Faroe Islands,-6.796,62.106
Latakia,Syria,36.581,35.668
Kamishly,Syria,41.318,37.034
Yakutsk,Russia,130.284,62.155
Yogyakarta,Indonesia,110.719,-7.647
Savannakhet,Laos,105.265,16.927
Pakse,Laos,106.302,15.22
Jinghong,China,101.266,22.623
Nikolayev,Ukraine,32.533,47.096
The Valley,Anguilla,-62.426,18.341
Foz Do Iguacu,Brazil,-54.146,-25.327
Curitiba,Brazil,-48.627,-25.215
Cordoba,Argentina,-63.68,-30.873
Zahedan,Iran,61.51,29.792
Quetta,Pakistan,67.562,30.418
Turbat,Pakistan,63.05,26.643
Rahim Yar Khan,Pakistan,70.465,28.639
Multan,Pakistan,71.698,30.338
Faisalabad,Pakistan,73.658,31.608
Gwadar,Pakistan,62.549,25.388
Dera Ghazi Khan,Pakistan,70.809,30.601
St.-pierreS,Saint Pierre and Miquelon,-55.622,47.271
Mont-Tremblant,Canada,-74.634,46.682
Burlington,United States,-72.589,44.786
Gaziantep,Turkey,37.797,37.578
St.-etienne,France,4.493,45.9
Kayseri,Turkey,35.825,39.283
Asahikawa,Japan,142.745,44.118
Kosice,Slovakia,21.401,49.105
Augsburg,Germany,11.552,48.708
Poprad,Slovakia,20.401,49.122
Žilina,Slovakia,19.022,49.385
Cochabamba,Bolivia,-65.629,-17.036
Alofi,Niue,-169.877,-18.467
Kulusuk,Greenland,-36.528,65.944
Godthaab,Greenland,-51.464,64.318
Laoag,Philippines,120.885,18.296
Golouchestershire,United Kingdom,-1.613,52.49
Blackpool,United Kingdom,-2.382,54.286
Cockburn Town,Bahamas,-74.207,24.105
SantiagoD,Dominican Republic,-70.342,19.676
Cartagena,Colombia,-75.189,10.737
Armenia,Colombia,-75.611,4.754
Wenzhou,China,121.42,28.52
Taegu,South Korea,129.098,36.49
Mandalay,Burma,96.629,22.17
Luxi,China,98.886,24.668
Toliara,Madagascar,44.214,-22.973
Sainte Marie,Madagascar,50.359,-16.49
Antsiranana,Madagascar,49.486,-11.916
Anjouan,Comoros,44.717,-11.553
Ronchi De Legionari,Italy,13.787,46.379
Rhodos,Greece,28.143,36.675
Pescara,Italy,14.301,42.719
Perugia,Italy,12.855,43.159
Canouan Island,Saint Vincent and the Grenadines,-60.905,13.165
Rosario,Argentina,-60.642,-32.84
Rio Gallegos,Argentina,-68.855,-51.349
Punta Arenas,Chile,-70.758,-52.338
Mount Pleasant,Falkland Islands,-58.079,-51.705
Iquique,Chile,-69.636,-20.226
Easter Island,Chile,-109.037,-26.608
Liege,Belgium,5.738,51.062
Linkoeping,Sweden,16.134,58.676
Huangshan,China,118.426,30.222
Oita,Japan,132.228,33.799
Hakodate,Japan,141.369,42.283
Akita,Japan,140.364,40.025
Aomori,Japan,141.151,41.224
Thimphu,Bhutan,89.707,27.671
Baghdogra,India,88.547,27.135
Guwahati,India,91.976,26.176
Cap Haitien,Haiti,-71.658,20.221
Malacca,Malaysia,102.419,2.438
Banja Luka,Bosnia and Herzegovina,17.495,45.569
Tioman,Malaysia,104.266,3.363
Khanty-Mansiysk,Russia,69.143,61.047
Hodeidah,Yemen,43.627,15.255
Sayun Intl,Yemen,49.313,16.61
Lar,Iran,54.638,28.124
Valladolid,Spain,-4.754,42.176
Salamanca,Spain,-5.17,41.586
Leon,Spain,-5.426,42.981
Deering,United States,-162.61,66.116
Groningen,Netherlands,6.965,53.199
Friedrichshafen,Germany,9.852,48.118
Manzhouli,China,117.549,49.944
Lanzhou,China,104.028,36.195
Chita,Russia,113.509,52.043
Pago Pago,American Samoa,-170.518,-13.885
Arequipa,Peru,-71.306,-15.902
Mackenzie British Columbia,Canada,-122.473,55.499
Huhhot,China,112.373,41.419
Dinard,France,-1.467,48.979
Alderney,Guernsey,-1.692,50.176
Sondrestrom,Greenland,-50.483,67.028
Praya,Indonesia,116.461,-8.596
Nagpur,India,79.078,21.153
Navoi,Uzbekistan,65.284,40.195
Vaxjo,Sweden,15.213,57.548
Vasteras,Sweden,17.056,59.982
Tours,France,1.212,47.72
Trapani,Italy,12.813,38.519
Szczechin,Poland,15.503,53.974
Lamezia,Italy,16.403,39.508
Santander,Spain,-3.701,43.711
SantiagoS,Spain,-8.026,43.493
Rodez,France,2.804,44.679
Parma,Italy,10.493,45.374
Poitiers,France,0.511,46.979
Perpignan,France,3.451,43.234
La Rochelle,France,-0.659,46.298
Lappeenranta,Finland,28.24,61.074
Tarbes,France,0.655,43.297
Nimes,France,4.693,44.262
Karlsruhe/Baden-Baden,Germany,8.134,49.298
Constanta,Romania,28.813,44.603
Carcassonne,France,2.51,43.359
Beziers,France,3.589,43.539
Bydgoszcz,Poland,18.629,53.161
Biarritz-bayonne,France,-1.206,43.78
Alghero,Italy,8.484,41.053
Aarhus,Denmark,11.031,56.5
Tarawa,Kiribati,173.245,1.636
Nausori,Fiji,178.932,-17.406
Funafuti,Tuvalu,179.327,-8.209
Makale,Ethiopia,39.889,13.778
Dire Dawa,Ethiopia,42.423,10.041
Chah Bahar,Iran,60.636,25.738
Dasht-e-naz,Iran,53.322,37.059
Sanandaj,Iran,47.015,35.409
Bakhtaran,Iran,47.263,34.576
Bushehr,Iran,51.391,29.574
Yazd,Iran,54.46,32.508
Abadan,Iran,48.38,30.618
Leixlip,Ireland,-6.146,53.585
Block Island,United States,-71.297,41.28
Bodo,Norway,14.608,67.448
Omsk,Russia,73.517,55.611
Makhachkala,Russia,48.087,43.361
Lubango,Angola,13.958,-14.875
Christmas Island,Christmas Island,106.15,-10.085
Zhanjiang,China,110.596,21.357
Shantou,China,117.138,23.666
Meixian,China,116.221,24.583
Guiyang,China,107.334,26.897
Santiago De Cuba,Cuba,-75.726,20.616
Camaguey,Cuba,-77.746,21.7
Cienfuegos,Cuba,-80.024,22.25
Pereira,Colombia,-75.566,5.354
Maracaibo,Venezuela,-71.547,10.93
Cucuta,Colombia,-72.186,8.545
Bucaramanga,Colombia,-72.642,7.21
Barranquilla,Colombia,-74.635,11.482
San Andres Island,Colombia,-81.519,12.972
Lhasa,China,91.519,29.496
Hailar,China,120.375,49.341
Rovaniemi,Finland,26.384,66.941
Francistown,Botswana,27.79,-20.6
Kasane,Botswana,25.27,-17.722
Sylhet Osmani,Bangladesh,92.444,25.605
Inverness,United Kingdom,-3.413,57.904
Dongloe,Ireland,-7.902,55.073
Esbjerg,Denmark,8.922,55.876
Christiansted,Virgin Islands,-64.509,18.245
San Luis,United States,-122.77,46.285
Fengnin,Taiwan,121.169,23.258
Ponce,Puerto Rico,-66.272,18.013
Jacksonville,United States,-81.48,30.823
White Plains,United States,-73.513,41.111
Dakhla,Western Sahara,-15.887,24.197
Ouarzazate,Morocco,-6.85,31.565
El Aaiún,Western Sahara,-12.699,27.252
Essadouira,Morocco,-9.47,31.662
Loreto,Mexico,-110.914,26.648
La PazM,Mexico,-109.938,24.121
Iguazu Falls,Argentina,-54.123,-25.563
Ontario,United States,-117.336,34.093
Brownsville,United States,-97.044,26.511
Padang,Indonesia,100.586,-0.792
Miri,Malaysia,114.644,4.536
Metz,France,6.418,49.636
Pau,France,-0.032,43.633
Deauville,France,0.257,49.608
Brive,France,1.781,45.251
Antwerp,Belgium,4.767,51.315
Syracuse,United States,-75.511,43.185
Sarasota,United States,-82.258,27.659
Rochester,United States,-77.454,43.198
Providence,United States,-71.034,42.22
Harrisburg,United States,-76.606,40.322
Grand Rapids,United States,-85.205,43.468
Albany,United States,-73.67,43.247
Allentown,United States,-75.069,41.086
Muenster/osnabrueck,Germany,8.141,52.224
Arvidsjaur,Sweden,19.469,65.983
Ibaraki,Japan,140.692,36.301
Brest,France,-4.031,48.746
Aktyubinsk,Kazakhstan,57.344,50.409
Surgut,Russia,73.669,61.572
Paraguana,Venezuela,-69.586,12.301
Kitakyushu,Japan,131.057,34.409
Saratov,Russia,46.038,51.557
Hargeisa,Somalia,44.147,9.863
Rock Sound,Bahamas,-75.63,25.486
Chub Cay,Bahamas,-77.802,25.695
Andros Town,Bahamas,-77.66,25.163
Tromso,Norway,19.531,70.138
Murmansk,Russia,33.251,69.302
Arkhangelsk,Russia,40.716,64.6
Geralds,Montserrat,-61.656,17.318
Salta,Argentina,-65.144,-24.76
Cuzco,Peru,-71.898,-13.227
Bocas Del Toro,Panama,-81.752,9.568
Maastricht,Netherlands,6.283,51.519
Yichang,China,111.735,31.118
Rio Hacha,Colombia,-72.877,11.877
Mariehamn,Finland,20.496,60.203
Bobo-dioulasso,Burkina Faso,-3.885,11.266
Pune,India,74.532,18.97
Bosaso,Somalia,49.249,11.458
Wajir,Kenya,40.152,2.222
Cayman Barac,Cayman Islands,-79.805,20.144
Bahar Dar,Ethiopia,37.536,12.013
Al Hociema,Morocco,-3.733,35.295
